id,price,bathroom,lots,area,garage,rooms,bedrooms,age,type1,type2,fireplace
1,259,1,3472,998,1,7,4,42,3,1,0
2,295,1,3531,1500,2,7,4,62,1,1,0
3,279,1,2275,1175,1,6,3,40,2,1,0
4,259,1,4050,1232,1,6,3,54,4,1,0
5,299,1,4455,1121,1,6,3,42,3,1,0
6,299,1,4455,988,1,6,3,56,2,1,0
7,309,1,5850,1240,1,7,3,51,2,1,1
8,289,1,9520,1501,0,6,3,32,1,1,0
9,849,2.5,9800,3420,2,10,5,42,2,1,1
10,829,2.5,12800,3000,2,9,5,14,4,1,1
11,359,1,6435,1225,2,6,3,32,1,1,0
12,315,1,4988,1552,1,6,3,30,1,2,0
13,310,1,5520,975,1,5,2,30,1,2,0
14,309,1,6666,1121,2,6,3,32,2,1,0
15,300,1,5000,1020,0,5,2,46,4,1,1
16,289,1,9520,1501,0,6,3,32,1,1,0
17,369,1.5,5150,1664,2,8,4,50,4,1,0
18,419,1.5,6902,1488,1.5,7,3,22,1,1,1
19,405,1.5,7102,1376,1,6,3,17,2,1,0
20,439,1,7800,1500,1.5,7,3,23,3,3,0
21,375,1,5520,1256,2,6,3,40,4,1,1
22,379,1.5,4000,1690,1,6,3,22,1,1,0
23,445,1.5,9890,1820,2,8,4,50,1,1,1
24,379,1.5,6727,1652,1,6,3,44,4,1,0
25,389,1.5,9150,1777,2,8,4,48,1,1,1
26,369,1,8000,1504,2,7,3,3,1,3,0
27,458,1.5,7326,1831,1.5,8,4,31,4,1,0
28,410,1.5,5000,1200,2,6,3,30,3,1,1
